2,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,2.1,2.2,2.3,2.4,2.5,0.6,0.5,0.4,0.3,0.2,0.1
-75,-83.0,-75.0,-82.0,-81,-78.0,-71.0,-90.0,-71,-72.0,-73.0,-65,-70,-64.0,-80.0,-72.0,-85.0,-74,-84.0,-63.0,-66.0,-60.0,-63.0,-57.0,-49.0
-74,-77.0,-79.0,-84.0,-76,-74.0,-72.0,-78.0,-70,-78.0,-72.0,-67,-70,-69.0,-83.0,-71.0,-81.0,-77,-85.0,-63.0,-65.0,-60.0,-61.0,-58.0,-48.0
-75,-75.0,-77.0,-82.0,-76,-78.0,-76.0,-93.0,-70,-74.0,-75.0,-69,-83,-62.0,-83.0,-78.0,-85.0,-84,-80.0,-64.0,-66.0,-69.0,-63.0,-57.0,-49.0
-77,-82.0,-74.0,-79.0,-81,-79.0,-71.0,-75.0,-77,-78.0,-73.0,-66,-78,-62.0,-82.0,-71.0,-81.0,-72,-87.0,-68.0,-66.0,-61.0,-63.0,-58.0,-48.0
-74,-77.0,-80.0,-84.0,-76,-73.0,-73.0,-88.0,-71,-74.0,-74.0,-66,-69,-64.0,-80.0,-70.0,-80.0,-76,-82.0,-63.0,-65.0,-60.0,-61.0,-57.0,-49.0
-73,-75.0,-78.0,-82.0,-76,-76.0,-76.0,-80.0,-69,-72.0,-73.0,-68,-82,-67.0,-80.0,-74.0,-86.0,-70,-80.0,-65.0,-67.0,-69.0,-61.0,-57.0,-48.0
-72,-76.0,-76.0,-78.0,-77,-76.0,-72.0,-76.0,-79,-78.0,-72.0,-65,-71,-62.0,-80.0,-72.0,-82.0,-75,-88.0,-65.0,-66.0,-61.0,-63.0,-58.0,-49.0
-78,-80.0,-74.0,-86.0,-80,-74.0,-72.0,-79.0,-70,-74.0,-74.0,-66,-79,-63.0,-80.0,-71.0,-83.0,-84,-84.0,-68.0,-64.0,-60.0,-60.0,-58.0,-49.0
-77,-77.0,-80.0,-84.0,-77,-81.0,-76.0,-76.0,-78,-72.0,-73.0,-70,-82,-68.0,-79.0,-75.0,-86.0,-70,-81.0,-63.0,-65.0,-69.0,-63.0,-56.0,-49.0
-72,-75.0,-79.0,-84.0,-77,-76.0,-71.0,-86.0,-71,-79.0,-76.0,-66,-78,-62.0,-78.0,-72.0,-79.0,-70,-80.0,-65.0,-64.0,-61.0,-64.0,-57.0,-48.0
-73,-82.0,-75.0,-81.0,-80,-74.0,-72.0,-79.0,-70,-75.0,-72.0,-66,-69,-68.0,-82.0,-71.0,-85.0,-74,-90.0,-68.0,-67.0,-60.0,-60.0,-58.0,-49.0
-78,-76.0,-80.0,-83.0,-77,-80.0,-71.0,-75.0,-76,-73.0,-72.0,-69,-83,-62.0,-83.0,-77.0,-86.0,-84,-85.0,-65.0,-65.0,-68.0,-61.0,-57.0,-49.0
-76,-75.0,-76.0,-86.0,-77,-77.0,-76.0,-87.0,-71,-80.0,-75.0,-65,-77,-63.0,-79.0,-73.0,-85.0,-70,-81.0,-68.0,-64.0,-60.0,-63.0,-100.0,-49.0
-77,-76.0,-81.0,-81.0,-79,-73.0,-72.0,-86.0,-70,-74.0,-72.0,-66,-69,-68.0,-82.0,-71.0,-79.0,-75,-84.0,-65.0,-67.0,-70.0,-63.0,-57.0,-48.0
-76,-81.0,-77.0,-85.0,-78,-78.0,-71.0,-78.0,-76,-74.0,-72.0,-69,-79,-62.0,-82.0,-76.0,-89.0,-76,-89.0,-70.0,-66.0,-60.0,-60.0,-57.0,-49.0
-77,-77.0,-74.0,-91.0,-77,-78.0,-72.0,-75.0,-71,-72.0,-75.0,-70,-71,-64.0,-79.0,-73.0,-86.0,-85,-81.0,-63.0,-65.0,-59.0,-63.0,-59.0,-48.0
-77,-75.0,-79.0,-86.0,-81,-79.0,-72.0,-87.0,-78,-79.0,-72.0,-66,-79,-63.0,-82.0,-76.0,-81.0,-71,-92.0,-65.0,-64.0,-68.0,-63.0,-58.0,-48.0
-74,-83.0,-76.0,-78.0,-77,-74.0,-77.0,-78.0,-70,-73.0,-77.0,-67,-80,-68.0,-82.0,-73.0,-87.0,-76,-81.0,-70.0,-66.0,-60.0,-60.0,-57.0,-49.0
-73,-77.0,-79.0,-84.0,-79,-80.0,-70.0,-75.0,-71,-73.0,-73.0,-70,-71,-62.0,-78.0,-71.0,-87.0,-84,-83.0,-64.0,-66.0,-69.0,-62.0,-58.0,-48.0
-77,-76.0,-74.0,-84.0,-78,-77.0,-73.0,-87.0,-78,-72.0,-72.0,-65,-80,-64.0,-79.0,-76.0,-84.0,-86,-85.0,-64.0,-64.0,-60.0,-63.0,-58.0,-48.0
-75,-81.0,-80.0,-82.0,-76,-75.0,-76.0,-79.0,-70,-79.0,-75.0,-67,-81,-68.0,-83.0,-72.0,-79.0,-71,-83.0,-63.0,-66.0,-61.0,-60.0,-59.0,-49.0
-73,-81.0,-78.0,-82.0,-80,-78.0,-74.0,-75.0,-80,-76.0,-73.0,-69,-83,-62.0,-79.0,-73.0,-89.0,-76,-93.0,-65.0,-65.0,-69.0,-63.0,-57.0,-48.0
-80,-78.0,-74.0,-78.0,-77,-78.0,-71.0,-87.0,-71,-71.0,-74.0,-67,-70,-64.0,-81.0,-71.0,-85.0,-84,-91.0,-69.0,-64.0,-70.0,-64.0,-57.0,-48.0
-75,-77.0,-79.0,-86.0,-76,-75.0,-77.0,-80.0,-70,-71.0,-73.0,-67,-78,-69.0,-81.0,-76.0,-81.0,-71,-85.0,-63.0,-66.0,-61.0,-61.0,-59.0,-49.0
-80,-81.0,-78.0,-84.0,-83,-80.0,-71.0,-74.0,-80,-79.0,-74.0,-70,-79,-62.0,-78.0,-73.0,-85.0,-75,-90.0,-64.0,-66.0,-60.0,-62.0,-58.0,-49.0
-77,-78.0,-75.0,-78.0,-79,-78.0,-71.0,-86.0,-70,-76.0,-73.0,-66,-70,-64.0,-82.0,-71.0,-86.0,-82,-86.0,-70.0,-65.0,-68.0,-63.0,-58.0,-49.0
-71,-81.0,-75.0,-89.0,-76,-73.0,-72.0,-81.0,-71,-72.0,-72.0,-66,-84,-64.0,-81.0,-77.0,-78.0,-71,-96.0,-69.0,-66.0,-61.0,-60.0,-57.0,-48.0
-77,-77.0,-79.0,-79.0,-82,-82.0,-77.0,-75.0,-71,-79.0,-75.0,-69,-79,-68.0,-81.0,-72.0,-87.0,-77,-84.0,-64.0,-65.0,-60.0,-61.0,-57.0,-49.0
-70,-76.0,-78.0,-83.0,-78,-78.0,-71.0,-86.0,-79,-74.0,-74.0,-70,-70,-62.0,-81.0,-73.0,-85.0,-87,-88.0,-64.0,-64.0,-68.0,-64.0,-59.0,-48.0
-78,-80.0,-75.0,-80.0,-76,-75.0,-72.0,-78.0,-70,-73.0,-72.0,-65,-80,-64.0,-80.0,-71.0,-85.0,-72,-91.0,-70.0,-65.0,-60.0,-61.0,-58.0,-48.0
-71,-77.0,-80.0,-88.0,-82,-82.0,-76.0,-75.0,-70,-79.0,-77.0,-65,-80,-67.0,-80.0,-73.0,-84.0,-79,-89.0,-64.0,-65.0,-60.0,-61.0,-56.0,-49.0
-80,-75.0,-77.0,-84.0,-77,-77.0,-72.0,-85.0,-78,-75.0,-73.0,-69,-70,-63.0,-83.0,-71.0,-78.0,-73,-84.0,-70.0,-64.0,-70.0,-63.0,-59.0,-48.0
-71,-80.0,-77.0,-82.0,-77,-80.0,-71.0,-77.0,-79,-72.0,-72.0,-65,-70,-67.0,-80.0,-77.0,-84.0,-78,-89.0,-63.0,-66.0,-60.0,-61.0,-58.0,-49.0
-76,-82.0,-73.0,-85.0,-77,-78.0,-72.0,-74.0,-71,-77.0,-76.0,-66,-79,-62.0,-80.0,-72.0,-84.0,-82,-82.0,-64.0,-66.0,-61.0,-62.0,-57.0,-48.0
